Movie Title;Director;Running time;Main Actor;Genre;Budget;Box Office;Release year
Anything Else;Woody Allen;108;Woody Allen;Comedy;18000000;5000000;2003
She's the Man;Andy Fickman;105;Channing Tatum;Comedy;20000000;57000000;2006
The BFG;Steven Spielberg;117;Mark Rylance;Adventure;140000000;195000000;2016
Fever Pitch;Bobby Farrelly;104;Jimmy Fallon;Comedy;30000000;120000000;2005
The Illusionist;Neil Burger;110;Rufus Sewell;Drama;16000000;87000000;2006
In the Name of the King: The Last Job;Uwe Boll;86;Bashar Rahal;Action;3500000;5000000;2014
Man of the Year;Barry Levinson;115;Robin Williams;Comedy;20000000;41000000;2006
Mission to Mars;Brian De Palma;114;Don Cheadle;Sci-Fi;90000000;111000000;2000
From Hell;Albert Hughes;122;Johnny Depp;Horror;35000000;74500000;2001
Keanu;Peter Atencio;100;Nia Long;Action;15000000;20000000;2016
Perfume: The Story of a Murderer;Tom Tykwer;147;Michael Smiley;Crime;50000000;100000000;2006
Untraceable;Gregory Hoblit;101;Billy Burke;Crime;35000000;52000000;2008
Olympus Has Fallen;Antoine Fuqua;119;Gerard Butler;Action;70000000;170000000;2013
Analyze That;Harold Ramis;96;Robert De Niro;Comedy;60000000;30000000;2002
Bran Nue Dae;Rachel Perkins;88;Deborah Mailman;Comedy;6500000;7000000;2009
Super Troopers;Jay Chandrasekhar;100;Geoffrey Arend;Comedy;1200000;23400000;2001
The Emperor's Club;Michael Hoffman;109;Gabriel Millman;Drama;12500000;15000000;2002
The Hunting Party;Richard Shepard;101;James Brolin;Adventure;25000000;7200000;2007
Alex Rider: Operation Stormbreaker;Geoffrey Sax;93;Alex Pettyfer;Action;40000000;15000000;2006
Book of Shadows: Blair Witch 2;Joe Berlinger;90;Kim Director;Adventure;15000000;47000000;2000
Highlander: Endgame;Douglas Aarniokoski;101;Christopher Lambert;Action;15000000;15900000;2000
In the Bedroom;Todd Field;138;Tom Wilkinson;Crime;1700000;44300000;2001
Pootie Tang;Louis C.K.;81;Wanda Sykes;Action;3000000;3000000;2001
August Rush;Kirsten Sheridan;114;Robin Williams;Drama;30000000;69200000;2007
Creed;Ryan Coogler;133;Sylvester Stallone;Drama;35000000;173000000;2015
A.I. Artificial Intelligence;Steven Spielberg;146;Haley Joel Osment;Adventure;100000000;236000000;2001
Milk;Gus Van Sant;128;James Franco;Biography;20000000;55000000;2008
Cars;John Lasseter;117;John Ratzenberger;Animation;120000000;462000000;2006
Gone in Sixty Seconds;Dominic Sena;127;Nicolas Cage;Action;90000000;237000000;2000
Hot Tub Time Machine;Steve Pink;101;Charlie McDermott;Comedy;36000000;64000000;2010
Alpha and Omega 4: The Legend of the Saw Toothed Cave;Richard Rich;45;Debi Derryberry;Action;7000000;3000000;2014
Attack the Block;Joe Cornish;88;John Boyega;Action;13000000;6100000;2011
Kick-Ass;Matthew Vaughn;117;Elizabeth McGovern;Action;30000000;96000000;2010
Mongol: The Rise of Genghis Khan;Sergey Bodrov;126;Tadanobu Asano;Biography;20000000;26000000;2007
Wicker Park;Paul McGuigan;114;Jessica Paré;Drama;30000000;21500000;2004
Stealth;Rob Cohen;121;Sam Shepard;Action;135000000;76700000;2005
Tangled;Nathan Greno;100;Brad Garrett;Animation;260000000;592000000;2010
Blue Crush;John Stockwell;104;Faizon Love;Drama;30000000;51000000;2002
Inherent Vice;Paul Thomas Anderson;148;Martin Dew;Comedy;20000000;14700000;2014
Open Road;Marcio Garcia;85;John Savage;Action;3000000;1000000;2013
Courageous;Alex Kendrick;129;Ben Davies;Drama;2000000;34000000;2011
Iris;Richard Eyre;91;Kate Winslet;Biography;5500000;25000000;2001
Meet Dave;Brian Robbins;90;Marc Blucas;Adventure;60000000;50000000;2008
Charlie Wilson's War;Mike Nichols;102;Philip Seymour Hoffman;Biography;75000000;119000000;2007
Saints and Soldiers;Ryan Little;90;Corbin Allred;Action;780000;1250000;2003
The Adventures of Pluto Nash;Ron Underwood;95;Rosario Dawson;Action;100000000;7100000;2002
The Legend of Tarzan;David Yates;110;Christoph Waltz;Action;180000000;356000000;2016
Beneath Hill 60;Jeremy Sims;122;Harrison Gilbertson;Drama;9000000;300000;2010
I Spit on Your Grave;Steven R. Monroe;105;Sarah Butler;Horror;2000000;9000000;2010
Catch Me If You Can;Steven Spielberg;141;Leonardo DiCaprio;Biography;52000000;352000000;2002
Daddy's Home;Sean Anders;96;Will Ferrell;Comedy;50000000;242000000;2015
Sin City: A Dame to Kill For;Frank Miller;102;Joseph Gordon-Levitt;Action;65000000;39000000;2014
Imagine Me & You;Ol Parker;90;Celia Imrie;Comedy;7900000;2000000;2005
Hellboy;Guillermo del Toro;132;James Babson;Action;66000000;99400000;2004
Teenage Mutant Ninja Turtles;Jonathan Liebesman;101;Noel Fisher;Action;125000000;493000000;2014
Renaissance;Christian Volckman;105;Romola Garai;Animation;14000000;2000000;2006
27 Dresses;Anne Fletcher;111;Judy Greer;Comedy;30000000;160000000;2008
Courage;Angelo Pizzo;118;Donny Boaz;Biography;20000000;35000000;2015
Hairspray;Adam Shankman;117;Jerry Stiller;Comedy;75000000;203000000;2007
Jindabyne;Ray Lawrence;118;John Howard;Crime;15000000;8000000;2006
Real Steel;Shawn Levy;127;Hugh Jackman;Action;110000000;299000000;2011
The Beaver;Jodie Foster;91;Jennifer Lawrence;Drama;21000000;7000000;2011
Antitrust;Peter Howitt;109;Tyler Labine;Action;30000000;11000000;2001
Getaway;Courtney Solomon;90;Rebecca Budig;Action;18000000;11000000;2013
Never Back Down;Jeff Wadlow;110;Djimon Hounsou;Action;20000000;25000000;2008
Passchendaele;Paul Gross;114;Landon Liboiron;Drama;20000000;4300000;2008
Syriana;Stephen Gaghan;128;Matt Damon;Thriller;50000000;94400000;2005
The Hangover;Todd Phillips;108;Bradley Cooper;Comedy;35000000;467000000;2009
A Walk to Remember;Adam Shankman;101;Lauren German;Drama;11000000;47000000;2002
An American Haunting;Courtney Solomon;91;Sissy Spacek;Horror;14000000;30000000;2005
Bad Moms;Jon Lucas;100;Mila Kunis;Comedy;20000000;183000000;2016
Insidious;James Wan;103;Lin Shaye;Horror;1500000;99700000;2010
My Life Without Me;Isabel Coixet;106;Sarah Polley;Drama;2000000;1060000;2003
Armored;Nimród Antal;88;Andrew Fiscella;Action;27000000;35000000;2009
L.I.E.;Michael Cuesta;97;Adam LeFevre;Crime;700000;5800000;2001
The I Inside;Roland Suso Richter;90;Stephen Graham;Mystery;8800000;1300000;2004
The Perks of Being a Wallflower;Stephen Chbosky;102;Logan Lerman;Drama;13000000;34000000;2012
Maid in Manhattan;Wayne Wang;105;Bob Hoskins;Comedy;55000000;155000000;2002
Shattered Glass;Billy Ray;99;Hayden Christensen;Drama;6000000;2900000;2003
Beyond the Sea;Kevin Spacey;118;Kevin Spacey;Biography;23000000;8600000;2004
Eternal Sunshine of the Spotless Mind;Michel Gondry;108;Kate Winslet;Drama;20000000;72000000;2004
Forgetting Sarah Marshall;Nicholas Stoller;118;Mila Kunis;Comedy;30000000;105000000;2008
2:13;Charles Adelman;96;Teri Polo;Horror;3500000;230000;2009
Chuck & Buck;Miguel Arteta;96;Lupe Ontiveros;Comedy;250000;2000000;2000
Fast Five;Justin Lin;132;Paul Walker;Action;125000000;626000000;2011
Get Over It;Tommy O'Haver;87;Mila Kunis;Comedy;22000000;13000000;2001
Opal Dream;Peter Cattaneo;86;Jacqueline McKenzie;Drama;11400000;3200000;2006
Ride Along 2;Tim Story;102;Olivia Munn;Action;40000000;124000000;2016
Stuart Little 2;Rob Minkoff;77;Nathan Lane;Animation;120000000;170000000;2002
